0,0,25020,50000,-1,-1,-1,-1,-1,-1
1,0.485486,185,330,-1,-1,-1,-1,-1,-1
2,0.503991,2307,10944,-1,-1,-1,-1,-1,-1
3,0.317622,2307,10944,-1,-1,-1,-1,-1,-1
4,0.192028,5012,14090,-1,-1,-1,-1,-1,-1
5,1.31157,8988,46409,-1,-1,-1,-1,-1,-1
6,0.0237755,8988,46409,5.58376e-06,0.405116,3.13973,2.28525,1.69447e+06,92.5827
8,0.651296,728,3244,0.0205403,0.652416,3.01878,1.942,40.3233,4.69817
7,0.0473226,8745,42787,0.0205403,0.697938,3.01878,1.88559,40.3233,4.40868
8,0.21867,3893,19523,0.0205403,0.734214,3.01878,1.83932,40.3233,4.02706
9,0.120426,3893,19516,0.0888447,0.740278,2.81012,1.82273,40.3233,3.97802
10,0.0883001,3893,19516,0.0888447,0.801849,2.72352,1.76801,40.3233,3.72428
7,0.0227947,5934,28538,0.0888447,0.785032,2.82593,1.79109,40.3233,3.86812
8,0.125293,3926,19565,0.0888447,0.805267,2.66887,1.76177,40.3233,3.70612
9,0.102854,3926,19567,0.0888447,0.806656,2.58326,1.75765,40.3233,3.69719
10,0.0863394,3926,19567,0.0888447,0.830136,2.58311,1.73035,40.3233,3.61229
7,0.0185953,5251,25179,0.0888447,0.811724,2.58853,1.75577,40.3233,3.73059
8,0.105516,3907,19378,0.0888447,0.829003,2.57726,1.73236,40.3233,3.61767
9,0.10368,3907,19399,0.0888447,0.82897,2.57726,1.73116,40.3233,3.61405
10,0.0799103,3907,19399,0.0888447,0.840572,2.56917,1.71697,40.3233,3.57261
11,0.003013,-1,-1,-1,-1,-1,-1,-1,-1
7,0.0168606,5165,24860,0.0596477,0.819519,2.67977,1.74664,40.3233,3.70726
8,0.12236,3968,19732,0.063783,0.837387,2.67977,1.72151,40.3233,3.59319
9,0.105685,3968,19742,0.063783,0.837357,2.67977,1.72111,40.3233,3.59203
10,0.0755174,3968,19742,0.063783,0.845315,2.60161,1.71095,40.3233,3.56248
7,0.0168913,4973,23944,0.063783,0.827514,2.60161,1.73596,40.3233,3.66289
8,0.0814907,3948,19624,0.063783,0.84412,2.4935,1.71242,40.3233,3.56492
9,0.106055,3948,19624,0.063783,0.844296,2.4935,1.71134,40.3233,3.56301
10,0.072098,3948,19624,0.063783,0.849317,2.48895,1.70578,40.3233,3.54627
11,0.0029784,-1,-1,-1,-1,-1,-1,-1,-1
7,0.0152846,4964,23946,0.063783,0.8281,2.88555,1.73249,40.3233,3.67689
8,0.0871577,3982,19836,0.063783,0.845511,2.88555,1.71121,37.2711,3.56441
9,0.104503,3982,19837,0.063783,0.845777,2.88555,1.71024,37.2711,3.56171
10,0.0727831,3982,19837,0.063783,0.850205,2.86379,1.70437,37.2711,3.54486
7,0.0165108,4867,23475,0.063783,0.833365,2.86379,1.72829,37.2711,3.6381
8,0.0791549,4000,19934,0.063783,0.848398,2.86379,1.70642,37.2711,3.55331
9,0.101312,4000,19932,0.063783,0.848637,2.86379,1.70578,37.2711,3.55201
10,0.0719584,4000,19932,0.063783,0.852006,2.8531,1.70169,37.2711,3.53852
11,0.0030604,-1,-1,-1,-1,-1,-1,-1,-1
7,0.0165033,5133,24906,0.063783,0.825212,2.94463,1.73477,37.2711,3.71247
8,0.0835577,4121,20632,0.0779029,0.845404,2.94463,1.70964,23.5022,3.56958
9,0.108597,4121,20642,0.0779029,0.845363,2.94463,1.70932,23.5022,3.56835
10,0.0754834,4121,20642,0.0779029,0.849971,2.50037,1.70368,23.5022,3.5482
7,0.0154593,5002,24239,0.0779029,0.834187,2.54089,1.72645,23.5022,3.63903
8,0.0817425,4118,20627,0.0779029,0.848358,2.53883,1.70633,23.5022,3.55327
9,0.109903,4118,20629,0.0779029,0.848388,2.51147,1.70602,23.5022,3.55238
10,0.0750962,4118,20629,0.0779029,0.85111,2.71438,1.70208,23.5022,3.54124
11,0.0030316,-1,-1,-1,-1,-1,-1,-1,-1
7,0.0166908,5279,25758,0.0762967,0.824994,2.92653,1.73504,23.5022,3.70727
8,0.0937188,4260,21400,0.112602,0.844131,2.91329,1.71054,18.9439,3.5792
9,0.110945,4260,21409,0.0920732,0.844029,2.91329,1.71012,18.9439,3.57624
10,0.0801594,4260,21409,0.0920732,0.848459,2.91796,1.70474,18.9439,3.55476
7,0.0158898,5149,25049,0.0920732,0.832349,2.91796,1.72655,18.9439,3.64752
8,0.0905146,4225,21233,0.0920732,0.846757,2.83042,1.70735,18.9439,3.55999
9,0.116205,4225,21232,0.0779029,0.846993,2.74766,1.70655,18.9439,3.55809
10,0.0797657,4225,21232,0.0779029,0.850001,2.74766,1.70263,18.9439,3.54575
11,0.0027917,-1,-1,-1,-1,-1,-1,-1,-1
7,0.0167907,5301,25950,0.0779029,0.82477,2.95051,1.73315,18.9439,3.69932
8,0.0974302,4375,22048,0.118988,0.842951,2.79023,1.7116,18.9439,3.58537
9,0.116444,4375,22056,0.118988,0.843044,2.86416,1.71123,18.9439,3.58323
10,0.0831897,4375,22056,0.12878,0.846674,2.86416,1.70682,18.9439,3.56403
7,0.016062,5178,25326,0.12878,0.832669,2.93481,1.72607,18.9439,3.64388
8,0.0913435,4372,22040,0.12878,0.845746,2.77591,1.70808,18.9439,3.56816
9,0.114636,4372,22042,0.138332,0.845739,2.77591,1.70782,18.9439,3.56728
10,0.082926,4372,22042,0.138879,0.847879,2.7733,1.70541,18.9439,3.55845
11,0.0028725,-1,-1,-1,-1,-1,-1,-1,-1
7,0.0163696,5387,26418,0.138879,0.826148,2.88822,1.73129,25.5807,3.69245
8,0.100918,4517,22805,0.138879,0.841496,2.86902,1.71116,25.5807,3.60005
9,0.116391,4517,22815,0.138879,0.841432,2.86902,1.71096,25.5807,3.59746
10,0.0907349,4517,22815,0.144538,0.844012,2.86902,1.70806,25.5807,3.58235
7,0.016312,5308,26022,0.144538,0.830415,2.88822,1.72687,25.5807,3.65946
8,0.10019,4520,22831,0.144538,0.843855,2.86902,1.70839,25.5807,3.58423
9,0.122392,4520,22836,0.144538,0.843765,2.86902,1.70824,25.5807,3.58353
10,0.0900102,4520,22836,0.144185,0.845319,2.86902,1.70683,25.5807,3.57733
11,0.0033464,-1,-1,-1,-1,-1,-1,-1,-1
7,0.0202869,5832,28852,0.144185,0.814812,2.85943,1.73914,18.9439,3.77524
8,0.126079,4837,24579,0.144185,0.830879,2.75183,1.72112,18.9439,3.66369
9,0.129074,4837,24601,0.144185,0.830522,2.75183,1.72108,18.9439,3.6595
10,0.101527,4837,24601,0.123941,0.835337,2.73328,1.71667,18.9439,3.6321
7,0.0176801,5659,27943,0.123941,0.823162,2.73328,1.73415,18.9439,3.70725
8,0.111896,4829,24555,0.123941,0.835059,2.73328,1.71718,18.9439,3.63412
9,0.131546,4829,24562,0.123941,0.835261,2.73328,1.71663,18.9439,3.63185
10,0.0986845,4829,24562,0.132972,0.836889,2.73328,1.71481,18.9439,3.62278
11,0.0041866,-1,-1,-1,-1,-1,-1,-1,-1
7,0.0240137,6599,32921,0.129168,0.802666,2.97735,1.75357,18.9439,3.85924
8,0.152782,5288,27092,0.136078,0.82107,2.97735,1.73118,18.9439,3.71796
9,0.145893,5288,27127,0.136078,0.820942,2.97735,1.73075,18.9439,3.71147
10,0.115932,5288,27127,0.107909,0.827393,2.97472,1.72497,18.9439,3.66922
11,0.0076648,-1,-1,-1,-1,-1,-1,-1,-1
7,0.0342538,8714,44491,0.107909,0.787224,2.97472,1.78106,19.2403,3.96538
8,0.214058,6363,33234,0.107909,0.807277,2.97472,1.75301,18.9439,3.78545
9,0.180289,6363,33302,0.107909,0.807473,2.97472,1.75139,18.9439,3.76869
10,0.154713,6363,33302,0.103706,0.822928,2.97241,1.73474,18.9439,3.68889
8,0.258609,6198,32376,0.103706,0.822938,2.97241,1.73352,18.9439,3.68858
12,0.063781,2264,8811,0.108495,0.802017,2.97132,1.75268,18.9439,3.78785
13,-1,0,-1,-1,-1,-1,-1,-1,-1
